year,region,sstCalYrAnom
1982,aleutian_islands,NA
1982,bits,NA
1982,eastern_bering_sea,NA
1982,evhoe,NA
1982,fr_cgfs,NA
1982,gulf_of_alaska,NA
1982,gulf_of_mexico,0.08780724
1982,ie_igfs,NA
1982,nigfs,NA
1982,norbts,NA
1982,northeast,NA
1982,ns_ibts,NA
1982,pt_ibts,NA
1982,rockall,NA
1982,scotian_shelf,NA
1982,southeast,NA
1982,swc_ibts,NA
1982,west_coast,NA
1983,aleutian_islands,NA
1983,bits,0.124384487
1983,eastern_bering_sea,NA
1983,evhoe,NA
1983,fr_cgfs,NA
1983,gulf_of_alaska,NA
1983,gulf_of_mexico,NA
1983,ie_igfs,NA
1983,nigfs,NA
1983,norbts,NA
1983,northeast,0.027833182
1983,ns_ibts,NA
1983,pt_ibts,NA
1983,rockall,NA
1983,scotian_shelf,0.363691691
1983,southeast,NA
1983,swc_ibts,NA
1983,west_coast,0.467627609
1984,aleutian_islands,NA
1984,bits,NA
1984,eastern_bering_sea,NA
1984,evhoe,NA
1984,fr_cgfs,NA
1984,gulf_of_alaska,NA
1984,gulf_of_mexico,NA
1984,ie_igfs,NA
1984,nigfs,NA
1984,norbts,NA
1984,northeast,NA
1984,ns_ibts,NA
1984,pt_ibts,NA
1984,rockall,NA
1984,scotian_shelf,4.2277e-4
1984,southeast,NA
1984,swc_ibts,NA
1984,west_coast,NA
1985,aleutian_islands,NA
1985,bits,NA
1985,eastern_bering_sea,NA
1985,evhoe,NA
1985,fr_cgfs,NA
1985,gulf_of_alaska,NA
1985,gulf_of_mexico,NA
1985,ie_igfs,NA
1985,nigfs,NA
1985,norbts,NA
1985,northeast,0.152925272
1985,ns_ibts,NA
1985,pt_ibts,NA
1985,rockall,NA
1985,scotian_shelf,NA
1985,southeast,NA
1985,swc_ibts,NA
1985,west_coast,NA
1986,aleutian_islands,NA
1986,bits,NA
1986,eastern_bering_sea,NA
1986,evhoe,NA
1986,fr_cgfs,NA
1986,gulf_of_alaska,NA
1986,gulf_of_mexico,NA
1986,ie_igfs,NA
1986,nigfs,NA
1986,norbts,NA
1986,northeast,NA
1986,ns_ibts,NA
1986,pt_ibts,NA
1986,rockall,NA
1986,scotian_shelf,NA
1986,southeast,NA
1986,swc_ibts,NA
1986,west_coast,NA
1987,aleutian_islands,NA
1987,bits,NA
1987,eastern_bering_sea,NA
1987,evhoe,NA
1987,fr_cgfs,NA
1987,gulf_of_alaska,NA
1987,gulf_of_mexico,NA
1987,ie_igfs,NA
1987,nigfs,NA
1987,norbts,NA
1987,northeast,NA
1987,ns_ibts,NA
1987,pt_ibts,NA
1987,rockall,NA
1987,scotian_shelf,NA
1987,southeast,NA
1987,swc_ibts,NA
1987,west_coast,NA
1988,aleutian_islands,NA
1988,bits,NA
1988,eastern_bering_sea,NA
1988,evhoe,NA
1988,fr_cgfs,NA
1988,gulf_of_alaska,NA
1988,gulf_of_mexico,NA
1988,ie_igfs,NA
1988,nigfs,NA
1988,norbts,NA
1988,northeast,NA
1988,ns_ibts,NA
1988,pt_ibts,NA
1988,rockall,NA
1988,scotian_shelf,NA
1988,southeast,NA
1988,swc_ibts,NA
1988,west_coast,NA
1989,aleutian_islands,NA
1989,bits,0.189529388
1989,eastern_bering_sea,NA
1989,evhoe,0.112297267
1989,fr_cgfs,0.338963146
1989,gulf_of_alaska,NA
1989,gulf_of_mexico,NA
1989,ie_igfs,0.080795294
1989,nigfs,0.032251032
1989,norbts,NA
1989,northeast,NA
1989,ns_ibts,NA
1989,pt_ibts,0.016668674
1989,rockall,NA
1989,scotian_shelf,NA
1989,southeast,NA
1989,swc_ibts,0.009485852
1989,west_coast,NA
1990,aleutian_islands,NA
1990,bits,0.419782379
1990,eastern_bering_sea,NA
1990,evhoe,0.095206309
1990,fr_cgfs,0.038041684
1990,gulf_of_alaska,NA
1990,gulf_of_mexico,NA
1990,ie_igfs,NA
1990,nigfs,NA
1990,norbts,0.236471666
1990,northeast,NA
1990,ns_ibts,0.004450503
1990,pt_ibts,NA
1990,rockall,NA
1990,scotian_shelf,NA
1990,southeast,0.187804236
1990,swc_ibts,NA
1990,west_coast,NA
1991,aleutian_islands,NA
1991,bits,NA
1991,eastern_bering_sea,NA
1991,evhoe,NA
1991,fr_cgfs,NA
1991,gulf_of_alaska,NA
1991,gulf_of_mexico,NA
1991,ie_igfs,NA
1991,nigfs,NA
1991,norbts,NA
1991,northeast,NA
1991,ns_ibts,NA
1991,pt_ibts,NA
1991,rockall,NA
1991,scotian_shelf,NA
1991,southeast,NA
1991,swc_ibts,NA
1991,west_coast,NA
1992,aleutian_islands,NA
1992,bits,NA
1992,eastern_bering_sea,NA
1992,evhoe,NA
1992,fr_cgfs,NA
1992,gulf_of_alaska,NA
1992,gulf_of_mexico,NA
1992,ie_igfs,NA
1992,nigfs,NA
1992,norbts,NA
1992,northeast,NA
1992,ns_ibts,NA
1992,pt_ibts,NA
1992,rockall,NA
1992,scotian_shelf,NA
1992,southeast,NA
1992,swc_ibts,NA
1992,west_coast,NA
1993,aleutian_islands,NA
1993,bits,NA
1993,eastern_bering_sea,NA
1993,evhoe,NA
1993,fr_cgfs,NA
1993,gulf_of_alaska,NA
1993,gulf_of_mexico,NA
1993,ie_igfs,NA
1993,nigfs,NA
1993,norbts,NA
1993,northeast,NA
1993,ns_ibts,NA
1993,pt_ibts,NA
1993,rockall,NA
1993,scotian_shelf,NA
1993,southeast,NA
1993,swc_ibts,NA
1993,west_coast,NA
1994,aleutian_islands,NA
1994,bits,NA
1994,eastern_bering_sea,NA
1994,evhoe,NA
1994,fr_cgfs,NA
1994,gulf_of_alaska,NA
1994,gulf_of_mexico,NA
1994,ie_igfs,NA
1994,nigfs,NA
1994,norbts,NA
1994,northeast,NA
1994,ns_ibts,NA
1994,pt_ibts,NA
1994,rockall,NA
1994,scotian_shelf,NA
1994,southeast,NA
1994,swc_ibts,NA
1994,west_coast,NA
1995,aleutian_islands,NA
1995,bits,NA
1995,eastern_bering_sea,NA
1995,evhoe,NA
1995,fr_cgfs,0.095310867
1995,gulf_of_alaska,NA
1995,gulf_of_mexico,NA
1995,ie_igfs,NA
1995,nigfs,0.04319007
1995,norbts,NA
1995,northeast,NA
1995,ns_ibts,NA
1995,pt_ibts,NA
1995,rockall,NA
1995,scotian_shelf,NA
1995,southeast,NA
1995,swc_ibts,NA
1995,west_coast,NA
1996,aleutian_islands,NA
1996,bits,NA
1996,eastern_bering_sea,NA
1996,evhoe,NA
1996,fr_cgfs,NA
1996,gulf_of_alaska,NA
1996,gulf_of_mexico,NA
1996,ie_igfs,NA
1996,nigfs,NA
1996,norbts,NA
1996,northeast,NA
1996,ns_ibts,NA
1996,pt_ibts,NA
1996,rockall,NA
1996,scotian_shelf,NA
1996,southeast,NA
1996,swc_ibts,NA
1996,west_coast,NA
1997,aleutian_islands,NA
1997,bits,NA
1997,eastern_bering_sea,NA
1997,evhoe,NA
1997,fr_cgfs,NA
1997,gulf_of_alaska,NA
1997,gulf_of_mexico,NA
1997,ie_igfs,NA
1997,nigfs,NA
1997,norbts,NA
1997,northeast,NA
1997,ns_ibts,NA
1997,pt_ibts,0.294622356
1997,rockall,NA
1997,scotian_shelf,NA
1997,southeast,NA
1997,swc_ibts,NA
1997,west_coast,0.435058163
1998,aleutian_islands,NA
1998,bits,NA
1998,eastern_bering_sea,NA
1998,evhoe,NA
1998,fr_cgfs,NA
1998,gulf_of_alaska,NA
1998,gulf_of_mexico,NA
1998,ie_igfs,NA
1998,nigfs,NA
1998,norbts,NA
1998,northeast,NA
1998,ns_ibts,NA
1998,pt_ibts,NA
1998,rockall,NA
1998,scotian_shelf,NA
1998,southeast,NA
1998,swc_ibts,NA
1998,west_coast,NA
1999,aleutian_islands,NA
1999,bits,NA
1999,eastern_bering_sea,NA
1999,evhoe,NA
1999,fr_cgfs,NA
1999,gulf_of_alaska,NA
1999,gulf_of_mexico,NA
1999,ie_igfs,NA
1999,nigfs,NA
1999,norbts,NA
1999,northeast,NA
1999,ns_ibts,NA
1999,pt_ibts,NA
1999,rockall,NA
1999,scotian_shelf,NA
1999,southeast,0.015206547
1999,swc_ibts,NA
1999,west_coast,NA
2000,aleutian_islands,NA
2000,bits,NA
2000,eastern_bering_sea,NA
2000,evhoe,NA
2000,fr_cgfs,NA
2000,gulf_of_alaska,NA
2000,gulf_of_mexico,NA
2000,ie_igfs,NA
2000,nigfs,NA
2000,norbts,NA
2000,northeast,NA
2000,ns_ibts,NA
2000,pt_ibts,NA
2000,rockall,NA
2000,scotian_shelf,NA
2000,southeast,NA
2000,swc_ibts,NA
2000,west_coast,NA
2001,aleutian_islands,NA
2001,bits,NA
2001,eastern_bering_sea,NA
2001,evhoe,NA
2001,fr_cgfs,NA
2001,gulf_of_alaska,NA
2001,gulf_of_mexico,NA
2001,ie_igfs,NA
2001,nigfs,NA
2001,norbts,NA
2001,northeast,NA
2001,ns_ibts,NA
2001,pt_ibts,NA
2001,rockall,NA
2001,scotian_shelf,NA
2001,southeast,NA
2001,swc_ibts,NA
2001,west_coast,NA
2002,aleutian_islands,NA
2002,bits,NA
2002,eastern_bering_sea,NA
2002,evhoe,NA
2002,fr_cgfs,NA
2002,gulf_of_alaska,NA
2002,gulf_of_mexico,NA
2002,ie_igfs,NA
2002,nigfs,NA
2002,norbts,NA
2002,northeast,NA
2002,ns_ibts,0.01707927
2002,pt_ibts,NA
2002,rockall,NA
2002,scotian_shelf,NA
2002,southeast,0.122582242
2002,swc_ibts,NA
2002,west_coast,NA
2003,aleutian_islands,NA
2003,bits,NA
2003,eastern_bering_sea,0.498188225
2003,evhoe,0.033192204
2003,fr_cgfs,NA
2003,gulf_of_alaska,NA
2003,gulf_of_mexico,NA
2003,ie_igfs,0.030748327
2003,nigfs,NA
2003,norbts,NA
2003,northeast,NA
2003,ns_ibts,0.014324957
2003,pt_ibts,NA
2003,rockall,0.164881911
2003,scotian_shelf,NA
2003,southeast,NA
2003,swc_ibts,0.227002384
2003,west_coast,NA
2004,aleutian_islands,NA
2004,bits,NA
2004,eastern_bering_sea,NA
2004,evhoe,NA
2004,fr_cgfs,NA
2004,gulf_of_alaska,NA
2004,gulf_of_mexico,NA
2004,ie_igfs,NA
2004,nigfs,NA
2004,norbts,NA
2004,northeast,NA
2004,ns_ibts,NA
2004,pt_ibts,NA
2004,rockall,NA
2004,scotian_shelf,NA
2004,southeast,NA
2004,swc_ibts,NA
2004,west_coast,NA
2005,aleutian_islands,NA
2005,bits,NA
2005,eastern_bering_sea,NA
2005,evhoe,NA
2005,fr_cgfs,NA
2005,gulf_of_alaska,NA
2005,gulf_of_mexico,NA
2005,ie_igfs,NA
2005,nigfs,NA
2005,norbts,NA
2005,northeast,NA
2005,ns_ibts,NA
2005,pt_ibts,NA
2005,rockall,NA
2005,scotian_shelf,NA
2005,southeast,NA
2005,swc_ibts,NA
2005,west_coast,NA
2006,aleutian_islands,NA
2006,bits,NA
2006,eastern_bering_sea,NA
2006,evhoe,NA
2006,fr_cgfs,NA
2006,gulf_of_alaska,NA
2006,gulf_of_mexico,NA
2006,ie_igfs,NA
2006,nigfs,NA
2006,norbts,NA
2006,northeast,NA
2006,ns_ibts,NA
2006,pt_ibts,0.186841285
2006,rockall,0.020334377
2006,scotian_shelf,NA
2006,southeast,NA
2006,swc_ibts,0.061642037
2006,west_coast,NA
2007,aleutian_islands,NA
2007,bits,NA
2007,eastern_bering_sea,NA
2007,evhoe,NA
2007,fr_cgfs,NA
2007,gulf_of_alaska,NA
2007,gulf_of_mexico,NA
2007,ie_igfs,0.018152624
2007,nigfs,0.100026282
2007,norbts,NA
2007,northeast,NA
2007,ns_ibts,NA
2007,pt_ibts,NA
2007,rockall,0.087121227
2007,scotian_shelf,NA
2007,southeast,NA
2007,swc_ibts,NA
2007,west_coast,NA
2008,aleutian_islands,NA
2008,bits,NA
2008,eastern_bering_sea,NA
2008,evhoe,NA
2008,fr_cgfs,NA
2008,gulf_of_alaska,NA
2008,gulf_of_mexico,NA
2008,ie_igfs,NA
2008,nigfs,NA
2008,norbts,NA
2008,northeast,NA
2008,ns_ibts,NA
2008,pt_ibts,NA
2008,rockall,NA
2008,scotian_shelf,NA
2008,southeast,NA
2008,swc_ibts,NA
2008,west_coast,NA
2009,aleutian_islands,NA
2009,bits,NA
2009,eastern_bering_sea,NA
2009,evhoe,NA
2009,fr_cgfs,NA
2009,gulf_of_alaska,NA
2009,gulf_of_mexico,NA
2009,ie_igfs,NA
2009,nigfs,NA
2009,norbts,NA
2009,northeast,NA
2009,ns_ibts,NA
2009,pt_ibts,NA
2009,rockall,NA
2009,scotian_shelf,NA
2009,southeast,NA
2009,swc_ibts,NA
2009,west_coast,NA
2010,aleutian_islands,NA
2010,bits,NA
2010,eastern_bering_sea,NA
2010,evhoe,NA
2010,fr_cgfs,NA
2010,gulf_of_alaska,NA
2010,gulf_of_mexico,NA
2010,ie_igfs,NA
2010,nigfs,NA
2010,norbts,NA
2010,northeast,NA
2010,ns_ibts,NA
2010,pt_ibts,NA
2010,rockall,NA
2010,scotian_shelf,NA
2010,southeast,NA
2010,swc_ibts,NA
2010,west_coast,NA
2011,aleutian_islands,NA
2011,bits,NA
2011,eastern_bering_sea,NA
2011,evhoe,NA
2011,fr_cgfs,NA
2011,gulf_of_alaska,NA
2011,gulf_of_mexico,NA
2011,ie_igfs,NA
2011,nigfs,NA
2011,norbts,NA
2011,northeast,NA
2011,ns_ibts,NA
2011,pt_ibts,NA
2011,rockall,NA
2011,scotian_shelf,NA
2011,southeast,NA
2011,swc_ibts,NA
2011,west_coast,NA
2012,aleutian_islands,NA
2012,bits,NA
2012,eastern_bering_sea,NA
2012,evhoe,NA
2012,fr_cgfs,NA
2012,gulf_of_alaska,NA
2012,gulf_of_mexico,NA
2012,ie_igfs,NA
2012,nigfs,NA
2012,norbts,NA
2012,northeast,0.614494901
2012,ns_ibts,NA
2012,pt_ibts,NA
2012,rockall,NA
2012,scotian_shelf,0.590245928
2012,southeast,NA
2012,swc_ibts,NA
2012,west_coast,NA
2013,aleutian_islands,NA
2013,bits,NA
2013,eastern_bering_sea,NA
2013,evhoe,NA
2013,fr_cgfs,NA
2013,gulf_of_alaska,NA
2013,gulf_of_mexico,NA
2013,ie_igfs,NA
2013,nigfs,NA
2013,norbts,0.101812303
2013,northeast,NA
2013,ns_ibts,NA
2013,pt_ibts,NA
2013,rockall,NA
2013,scotian_shelf,NA
2013,southeast,NA
2013,swc_ibts,NA
2013,west_coast,NA
2014,aleutian_islands,NA
2014,bits,NA
2014,eastern_bering_sea,NA
2014,evhoe,NA
2014,fr_cgfs,NA
2014,gulf_of_alaska,NA
2014,gulf_of_mexico,NA
2014,ie_igfs,NA
2014,nigfs,NA
2014,norbts,NA
2014,northeast,NA
2014,ns_ibts,NA
2014,pt_ibts,NA
2014,rockall,NA
2014,scotian_shelf,NA
2014,southeast,NA
2014,swc_ibts,NA
2014,west_coast,NA
2015,aleutian_islands,0.023890015
2015,bits,NA
2015,eastern_bering_sea,NA
2015,evhoe,NA
2015,fr_cgfs,NA
2015,gulf_of_alaska,0.038534196
2015,gulf_of_mexico,NA
2015,ie_igfs,NA
2015,nigfs,NA
2015,norbts,NA
2015,northeast,NA
2015,ns_ibts,NA
2015,pt_ibts,NA
2015,rockall,NA
2015,scotian_shelf,NA
2015,southeast,NA
2015,swc_ibts,NA
2015,west_coast,0.325941982
2016,aleutian_islands,0.232138028
2016,bits,NA
2016,eastern_bering_sea,0.816775
2016,evhoe,NA
2016,fr_cgfs,NA
2016,gulf_of_alaska,0.513252694
2016,gulf_of_mexico,0.015076901
2016,ie_igfs,NA
2016,nigfs,NA
2016,norbts,0.182873545
2016,northeast,NA
2016,ns_ibts,NA
2016,pt_ibts,NA
2016,rockall,NA
2016,scotian_shelf,NA
2016,southeast,NA
2016,swc_ibts,NA
2016,west_coast,NA
2017,aleutian_islands,NA
2017,bits,NA
2017,eastern_bering_sea,NA
2017,evhoe,NA
2017,fr_cgfs,NA
2017,gulf_of_alaska,NA
2017,gulf_of_mexico,0.047537648
2017,ie_igfs,NA
2017,nigfs,NA
2017,norbts,NA
2017,northeast,NA
2017,ns_ibts,NA
2017,pt_ibts,NA
2017,rockall,NA
2017,scotian_shelf,NA
2017,southeast,NA
2017,swc_ibts,NA
2017,west_coast,NA
2018,aleutian_islands,NA
2018,bits,NA
2018,eastern_bering_sea,NA
2018,evhoe,NA
2018,fr_cgfs,NA
2018,gulf_of_alaska,NA
2018,gulf_of_mexico,NA
2018,ie_igfs,NA
2018,nigfs,NA
2018,norbts,NA
2018,northeast,NA
2018,ns_ibts,NA
2018,pt_ibts,NA
2018,rockall,NA
2018,scotian_shelf,NA
2018,southeast,NA
2018,swc_ibts,NA
2018,west_coast,NA
2019,aleutian_islands,0.082879563
2019,bits,NA
2019,eastern_bering_sea,0.570830186
2019,evhoe,NA
2019,fr_cgfs,NA
2019,gulf_of_alaska,0.087437961
2019,gulf_of_mexico,NA
2019,ie_igfs,NA
2019,nigfs,NA
2019,norbts,NA
2019,northeast,NA
2019,ns_ibts,NA
2019,pt_ibts,NA
2019,rockall,NA
2019,scotian_shelf,NA
2019,southeast,NA
2019,swc_ibts,NA
2019,west_coast,NA
