ME,Year,Catch
Eastern Bering Sea,1950,90301.48949
Eastern Bering Sea,1951,80616.65811
Eastern Bering Sea,1952,72447.21221
Eastern Bering Sea,1953,69492.09468
Eastern Bering Sea,1954,81635.07032
Eastern Bering Sea,1955,88597.15257
Eastern Bering Sea,1956,115130.4584
Eastern Bering Sea,1957,110962.3785
Eastern Bering Sea,1958,118424.7178
Eastern Bering Sea,1959,216314.7411
Eastern Bering Sea,1960,541202.9632
Eastern Bering Sea,1961,669666.1998
Eastern Bering Sea,1962,730626.2849
Eastern Bering Sea,1963,697084.0818
Eastern Bering Sea,1964,976636.4863
Eastern Bering Sea,1965,963500.4881
Eastern Bering Sea,1966,995203.0197
Eastern Bering Sea,1967,1210874.177
Eastern Bering Sea,1968,1344598.761
Eastern Bering Sea,1969,1528277.205
Eastern Bering Sea,1970,2046187.947
Eastern Bering Sea,1971,2392870.056
Eastern Bering Sea,1972,2619609.713
Eastern Bering Sea,1973,2162874.656
Eastern Bering Sea,1974,2210053.62
Eastern Bering Sea,1975,1844663.148
Eastern Bering Sea,1976,1882253.705
Eastern Bering Sea,1977,1475214.46
Eastern Bering Sea,1978,1612684.726
Eastern Bering Sea,1979,1549414.268
Eastern Bering Sea,1980,1649605.301
Eastern Bering Sea,1981,1732752.586
Eastern Bering Sea,1982,1601984.164
Eastern Bering Sea,1983,1690645.229
Eastern Bering Sea,1984,1877489.226
Eastern Bering Sea,1985,1780378.423
Eastern Bering Sea,1986,1455163.677
Eastern Bering Sea,1987,1047964.38
Eastern Bering Sea,1988,1115090.151
Eastern Bering Sea,1989,1063263.39
Eastern Bering Sea,1990,1261492.328
Eastern Bering Sea,1991,1153320.783
Eastern Bering Sea,1992,1301965.975
Eastern Bering Sea,1993,1207503.939
Eastern Bering Sea,1994,1089396.259
Eastern Bering Sea,1995,1104819.856
Eastern Bering Sea,1996,1145902.387
Eastern Bering Sea,1997,1120519.944
Eastern Bering Sea,1998,1051293.242
Eastern Bering Sea,1999,958347.3842
Eastern Bering Sea,2000,919278.4898
Eastern Bering Sea,2001,997243.9203
Eastern Bering Sea,2002,943207.5331
Eastern Bering Sea,2003,1026454.506
Eastern Bering Sea,2004,988515.7584
Eastern Bering Sea,2005,1039656.409
Eastern Bering Sea,2006,1010856.166
Eastern Bering Sea,2007,1015141.738
Eastern Bering Sea,2008,872302.0101
Eastern Bering Sea,2009,809267.3823
Eastern Bering Sea,2010,858037.0974
Eastern Bering Sea,2011,1015777.555
Eastern Bering Sea,2012,1021164.199
Eastern Bering Sea,2013,1080167.916
Eastern Bering Sea,2014,1085681.589
Eastern Bering Sea,2015,1128638.903
Eastern Bering Sea,2016,1078910.211
Eastern Bering Sea,2017,1131745.369
Eastern Bering Sea,2018,1433617.578
Eastern Bering Sea,2019,1479036.763
North Sea,1950,1532679.626
North Sea,1951,1809519.412
North Sea,1952,1613912.628
North Sea,1953,1994807.665
North Sea,1954,1989719.837
North Sea,1955,1715469.717
North Sea,1956,1760014.166
North Sea,1957,2153974.805
North Sea,1958,2150768.663
North Sea,1959,2338111.834
North Sea,1960,2076190.131
North Sea,1961,2207169.445
North Sea,1962,2304152.966
North Sea,1963,2650524.767
North Sea,1964,2959466.554
North Sea,1965,2867930.334
North Sea,1966,3242659.15
North Sea,1967,3426906.635
North Sea,1968,3874489.67
North Sea,1969,3982533.251
North Sea,1970,4096787.12
North Sea,1971,3556539.244
North Sea,1972,3557392.587
North Sea,1973,3851114.878
North Sea,1974,4185453.485
North Sea,1975,4127671.679
North Sea,1976,4107736.534
North Sea,1977,3433294.7
North Sea,1978,3196552.214
North Sea,1979,2990355.415
North Sea,1980,3276913.989
North Sea,1981,3260641.695
North Sea,1982,3478988.358
North Sea,1983,3441974.118
North Sea,1984,3425087.024
North Sea,1985,3423218.942
North Sea,1986,3402138.911
North Sea,1987,3222521.75
North Sea,1988,3492558.755
North Sea,1989,3415569.183
North Sea,1990,2947917.738
North Sea,1991,3285227.364
North Sea,1992,3558079.179
North Sea,1993,3199404.423
North Sea,1994,3394088.011
North Sea,1995,3539948.287
North Sea,1996,2625027.339
North Sea,1997,2828825.772
North Sea,1998,2645696.481
North Sea,1999,2650423.704
North Sea,2000,2727176.952
North Sea,2001,2695064.413
North Sea,2002,2787846.729
North Sea,2003,2281181.955
North Sea,2004,2346212.768
North Sea,2005,2107145.539
North Sea,2006,2021372.701
North Sea,2007,1681498.116
North Sea,2008,1628311.921
North Sea,2009,1795880.982
North Sea,2010,1847526.555
North Sea,2011,1837233.124
North Sea,2012,1549066.948
North Sea,2013,1917344.877
North Sea,2014,2024655.603
North Sea,2015,2117159.294
North Sea,2016,1892139.408
North Sea,2017,2155674.078
North Sea,2018,2140267.705
North Sea,2019,2753801.937
Gulf of Maine/Bay of Fundy,1950,533154.7988
Gulf of Maine/Bay of Fundy,1951,517306.14
Gulf of Maine/Bay of Fundy,1952,536494.2827
Gulf of Maine/Bay of Fundy,1953,508811.2155
Gulf of Maine/Bay of Fundy,1954,524687.0833
Gulf of Maine/Bay of Fundy,1955,532415.0377
Gulf of Maine/Bay of Fundy,1956,558835.1041
Gulf of Maine/Bay of Fundy,1957,600998.81
Gulf of Maine/Bay of Fundy,1958,590883.9239
Gulf of Maine/Bay of Fundy,1959,577713.3747
Gulf of Maine/Bay of Fundy,1960,579631.7091
Gulf of Maine/Bay of Fundy,1961,589837.3858
Gulf of Maine/Bay of Fundy,1962,853537.7551
Gulf of Maine/Bay of Fundy,1963,1069312.329
Gulf of Maine/Bay of Fundy,1964,1086784.32
Gulf of Maine/Bay of Fundy,1965,1175951.069
Gulf of Maine/Bay of Fundy,1966,1244238.576
Gulf of Maine/Bay of Fundy,1967,1044927.341
Gulf of Maine/Bay of Fundy,1968,1026217.414
Gulf of Maine/Bay of Fundy,1969,808456.7315
Gulf of Maine/Bay of Fundy,1970,745775.5759
Gulf of Maine/Bay of Fundy,1971,906129.9949
Gulf of Maine/Bay of Fundy,1972,1033915.1
Gulf of Maine/Bay of Fundy,1973,952936.6127
Gulf of Maine/Bay of Fundy,1974,791913.3254
Gulf of Maine/Bay of Fundy,1975,829295.0568
Gulf of Maine/Bay of Fundy,1976,694361.5546
Gulf of Maine/Bay of Fundy,1977,642835.6586
Gulf of Maine/Bay of Fundy,1978,623584.9711
Gulf of Maine/Bay of Fundy,1979,643227.8689
Gulf of Maine/Bay of Fundy,1980,627133.8661
Gulf of Maine/Bay of Fundy,1981,604722.1415
Gulf of Maine/Bay of Fundy,1982,572852.1972
Gulf of Maine/Bay of Fundy,1983,538625.4851
Gulf of Maine/Bay of Fundy,1984,504217.4594
Gulf of Maine/Bay of Fundy,1985,503656.2205
Gulf of Maine/Bay of Fundy,1986,505226.2717
Gulf of Maine/Bay of Fundy,1987,550857.5312
Gulf of Maine/Bay of Fundy,1988,554177.5989
Gulf of Maine/Bay of Fundy,1989,544294.7091
Gulf of Maine/Bay of Fundy,1990,614018.4623
Gulf of Maine/Bay of Fundy,1991,595617.1735
Gulf of Maine/Bay of Fundy,1992,610542.8021
Gulf of Maine/Bay of Fundy,1993,569715.1049
Gulf of Maine/Bay of Fundy,1994,460995.2022
Gulf of Maine/Bay of Fundy,1995,467297.2472
Gulf of Maine/Bay of Fundy,1996,504354.8797
Gulf of Maine/Bay of Fundy,1997,501557.8274
Gulf of Maine/Bay of Fundy,1998,493170.3665
Gulf of Maine/Bay of Fundy,1999,491759.3536
Gulf of Maine/Bay of Fundy,2000,543190.7325
Gulf of Maine/Bay of Fundy,2001,598481.0134
Gulf of Maine/Bay of Fundy,2002,602662.4656
Gulf of Maine/Bay of Fundy,2003,631649.1798
Gulf of Maine/Bay of Fundy,2004,646840.5622
Gulf of Maine/Bay of Fundy,2005,603107.5283
Gulf of Maine/Bay of Fundy,2006,689417.0631
Gulf of Maine/Bay of Fundy,2007,603955.2292
Gulf of Maine/Bay of Fundy,2008,577957.5851
Gulf of Maine/Bay of Fundy,2009,607372.8902
Gulf of Maine/Bay of Fundy,2010,614099.4849
Gulf of Maine/Bay of Fundy,2011,645610.2017
Gulf of Maine/Bay of Fundy,2012,634075.0152
Gulf of Maine/Bay of Fundy,2013,644035.9387
Gulf of Maine/Bay of Fundy,2014,578777.3493
Gulf of Maine/Bay of Fundy,2015,489501.9842
Gulf of Maine/Bay of Fundy,2016,486165.0273
Gulf of Maine/Bay of Fundy,2017,301770.9257
Gulf of Maine/Bay of Fundy,2018,304044.4908
Gulf of Maine/Bay of Fundy,2019,286585.2573
Northern California,1950,372360.1712
Northern California,1951,261053.0781
Northern California,1952,224394.3065
Northern California,1953,177895.52
Northern California,1954,194204.7012
Northern California,1955,187727.6318
Northern California,1956,221119.8147
Northern California,1957,207877.7297
Northern California,1958,200047.8462
Northern California,1959,167095.9366
Northern California,1960,142302.7156
Northern California,1961,141284.4911
Northern California,1962,124135.0848
Northern California,1963,135968.3153
Northern California,1964,136426.8962
Northern California,1965,101413.2483
Northern California,1966,198212.8908
Northern California,1967,225172.0018
Northern California,1968,143170.8411
Northern California,1969,189768.4157
Northern California,1970,268309.3977
Northern California,1971,222183.3492
Northern California,1972,196819.2268
Northern California,1973,280614.1103
Northern California,1974,278614.7663
Northern California,1975,338697.6551
Northern California,1976,337719.073
Northern California,1977,303065.8203
Northern California,1978,220408.173
Northern California,1979,258703.417
Northern California,1980,228360.7318
Northern California,1981,284723.5705
Northern California,1982,245058.7719
Northern California,1983,189815.0514
Northern California,1984,178480.5503
Northern California,1985,182233.5512
Northern California,1986,238889.7718
Northern California,1987,254935.7204
Northern California,1988,268224.056
Northern California,1989,289095.6366
Northern California,1990,250296.2498
Northern California,1991,144508.0116
Northern California,1992,121661.7715
Northern California,1993,124781.8877
Northern California,1994,131224.141
Northern California,1995,154781.7723
Northern California,1996,165916.0809
Northern California,1997,174724.7616
Northern California,1998,94668.59951
Northern California,1999,166811.3204
Northern California,2000,197553.398
Northern California,2001,159526.8463
Northern California,2002,136161.019
Northern California,2003,101329.4106
Northern California,2004,105621.7016
Northern California,2005,99386.19468
Northern California,2006,107634.4729
Northern California,2007,116038.8467
Northern California,2008,97393.24066
Northern California,2009,128004.3179
Northern California,2010,154600.8003
Northern California,2011,144523.4623
Northern California,2012,126766.2288
Northern California,2013,135215.6616
Northern California,2014,134120.8569
Northern California,2015,64180.27265
Northern California,2016,63696.73677
Northern California,2017,76403.57419
Northern California,2018,63589.72083
Northern California,2019,39035.55766
Northern Gulf of Mexico,1950,670445.6379
Northern Gulf of Mexico,1951,793168.063
Northern Gulf of Mexico,1952,850737.3394
Northern Gulf of Mexico,1953,902958.4135
Northern Gulf of Mexico,1954,920616.6836
Northern Gulf of Mexico,1955,890516.0949
Northern Gulf of Mexico,1956,857835.082
Northern Gulf of Mexico,1957,733918.446
Northern Gulf of Mexico,1958,755595.7757
Northern Gulf of Mexico,1959,923058.5181
Northern Gulf of Mexico,1960,992911.5754
Northern Gulf of Mexico,1961,865310.1771
Northern Gulf of Mexico,1962,905022.3213
Northern Gulf of Mexico,1963,1049028.546
Northern Gulf of Mexico,1964,964554.0801
Northern Gulf of Mexico,1965,1020991.603
Northern Gulf of Mexico,1966,892570.8835
Northern Gulf of Mexico,1967,1012701.872
Northern Gulf of Mexico,1968,1021479.372
Northern Gulf of Mexico,1969,1074224.636
Northern Gulf of Mexico,1970,1144661.697
Northern Gulf of Mexico,1971,1266227.183
Northern Gulf of Mexico,1972,1109653.946
Northern Gulf of Mexico,1973,978042.5626
Northern Gulf of Mexico,1974,1052748.531
Northern Gulf of Mexico,1975,1005730.88
Northern Gulf of Mexico,1976,1109245.469
Northern Gulf of Mexico,1977,1110832.186
Northern Gulf of Mexico,1978,1287253.513
Northern Gulf of Mexico,1979,1169253.522
Northern Gulf of Mexico,1980,1122730.822
Northern Gulf of Mexico,1981,1040325.25
Northern Gulf of Mexico,1982,1303685.23
Northern Gulf of Mexico,1983,1301661.69
Northern Gulf of Mexico,1984,1494325.998
Northern Gulf of Mexico,1985,1317579.765
Northern Gulf of Mexico,1986,1178100.009
Northern Gulf of Mexico,1987,1216362.115
Northern Gulf of Mexico,1988,962244.8897
Northern Gulf of Mexico,1989,966916.0987
Northern Gulf of Mexico,1990,967174.3619
Northern Gulf of Mexico,1991,994919.464
Northern Gulf of Mexico,1992,897602.3248
Northern Gulf of Mexico,1993,978695.5767
Northern Gulf of Mexico,1994,1147152.305
Northern Gulf of Mexico,1995,959787.1938
Northern Gulf of Mexico,1996,950532.2445
Northern Gulf of Mexico,1997,1105812.828
Northern Gulf of Mexico,1998,982183.6372
Northern Gulf of Mexico,1999,1136035.618
Northern Gulf of Mexico,2000,1122568.72
Northern Gulf of Mexico,2001,1028080.669
Northern Gulf of Mexico,2002,1027745.529
Northern Gulf of Mexico,2003,1029706.561
Northern Gulf of Mexico,2004,982369.4993
Northern Gulf of Mexico,2005,808650.7497
Northern Gulf of Mexico,2006,942522.56
Northern Gulf of Mexico,2007,900345.9268
Northern Gulf of Mexico,2008,821877.3377
Northern Gulf of Mexico,2009,943827.0782
Northern Gulf of Mexico,2010,719193.3649
Northern Gulf of Mexico,2011,1038595.264
Northern Gulf of Mexico,2012,917722.902
Northern Gulf of Mexico,2013,884368.0278
Northern Gulf of Mexico,2014,775173.5581
Northern Gulf of Mexico,2015,944083.4041
Northern Gulf of Mexico,2016,994640.5718
Northern Gulf of Mexico,2017,782046.3402
Northern Gulf of Mexico,2018,846565.7079
Northern Gulf of Mexico,2019,830921.9612
South European Atlantic Shelf,1950,1008774.955
South European Atlantic Shelf,1951,1129931.664
South European Atlantic Shelf,1952,1006151.177
South European Atlantic Shelf,1953,1070524.349
South European Atlantic Shelf,1954,1114530.097
South European Atlantic Shelf,1955,1250129.262
South European Atlantic Shelf,1956,1237117.577
South European Atlantic Shelf,1957,1303835.913
South European Atlantic Shelf,1958,1370943.271
South European Atlantic Shelf,1959,1401100.436
South European Atlantic Shelf,1960,1416441.977
South European Atlantic Shelf,1961,1557644.791
South European Atlantic Shelf,1962,1393449.971
South European Atlantic Shelf,1963,1463992.181
South European Atlantic Shelf,1964,1478862.653
South European Atlantic Shelf,1965,1486940.436
South European Atlantic Shelf,1966,1374988.79
South European Atlantic Shelf,1967,1418060.076
South European Atlantic Shelf,1968,1417374.603
South European Atlantic Shelf,1969,1302290.51
South European Atlantic Shelf,1970,1479661.203
South European Atlantic Shelf,1971,1432274.656
South European Atlantic Shelf,1972,1282360.82
South European Atlantic Shelf,1973,1358261.858
South European Atlantic Shelf,1974,1158424.527
South European Atlantic Shelf,1975,1270119.992
South European Atlantic Shelf,1976,1404965.381
South European Atlantic Shelf,1977,1353655.308
South European Atlantic Shelf,1978,1190638.801
South European Atlantic Shelf,1979,1147905.918
South European Atlantic Shelf,1980,1128463.732
South European Atlantic Shelf,1981,1001761.902
South European Atlantic Shelf,1982,1019403.646
South European Atlantic Shelf,1983,974449.409
South European Atlantic Shelf,1984,1153856.339
South European Atlantic Shelf,1985,1023543.231
South European Atlantic Shelf,1986,972365.3389
South European Atlantic Shelf,1987,977556.8243
South European Atlantic Shelf,1988,947111.0293
South European Atlantic Shelf,1989,908066.8986
South European Atlantic Shelf,1990,865536.0251
South European Atlantic Shelf,1991,873365.2101
South European Atlantic Shelf,1992,883565.9307
South European Atlantic Shelf,1993,886722.6019
South European Atlantic Shelf,1994,844228.1321
South European Atlantic Shelf,1995,844202.2384
South European Atlantic Shelf,1996,853498.2695
South European Atlantic Shelf,1997,787939.1793
South European Atlantic Shelf,1998,778533.7814
South European Atlantic Shelf,1999,776386.1248
South European Atlantic Shelf,2000,734057.259
South European Atlantic Shelf,2001,774755.0473
South European Atlantic Shelf,2002,677904.2062
South European Atlantic Shelf,2003,667539.2003
South European Atlantic Shelf,2004,655527.8946
South European Atlantic Shelf,2005,691735.092
South European Atlantic Shelf,2006,730855.57
South European Atlantic Shelf,2007,670896.5999
South European Atlantic Shelf,2008,646961.2988
South European Atlantic Shelf,2009,662562.8202
South European Atlantic Shelf,2010,723734.9471
South European Atlantic Shelf,2011,688549.4127
South European Atlantic Shelf,2012,625030.1897
South European Atlantic Shelf,2013,653620.3941
South European Atlantic Shelf,2014,680740.6043
South European Atlantic Shelf,2015,713977.7602
South European Atlantic Shelf,2016,667493.8072
South European Atlantic Shelf,2017,664486.1387
South European Atlantic Shelf,2018,680581.4511
South European Atlantic Shelf,2019,633658.6555
Celtic Seas,1950,778734.2665
Celtic Seas,1951,763766.0636
Celtic Seas,1952,771335.2447
Celtic Seas,1953,860655.1888
Celtic Seas,1954,871596.1848
Celtic Seas,1955,846485.3096
Celtic Seas,1956,972873.4512
Celtic Seas,1957,765284.2045
Celtic Seas,1958,620996.9303
Celtic Seas,1959,610339.9639
Celtic Seas,1960,712204.9442
Celtic Seas,1961,435315.8202
Celtic Seas,1962,502486.2495
Celtic Seas,1963,525334.1704
Celtic Seas,1964,632582.188
Celtic Seas,1965,991907.1319
Celtic Seas,1966,912722.3691
Celtic Seas,1967,832779.2867
Celtic Seas,1968,775123.0491
Celtic Seas,1969,828076.7847
Celtic Seas,1970,1052615.844
Celtic Seas,1971,1200216.687
Celtic Seas,1972,1533637.446
Celtic Seas,1973,1680006.532
Celtic Seas,1974,1690787.779
Celtic Seas,1975,2045233.147
Celtic Seas,1976,2025103.483
Celtic Seas,1977,1095943.528
Celtic Seas,1978,1305594.622
Celtic Seas,1979,1310912.146
Celtic Seas,1980,1385110.579
Celtic Seas,1981,1441284.451
Celtic Seas,1982,1587653.788
Celtic Seas,1983,1615987.985
Celtic Seas,1984,1705106.376
Celtic Seas,1985,1706502.461
Celtic Seas,1986,1780595.556
Celtic Seas,1987,1944146.262
Celtic Seas,1988,1962277.456
Celtic Seas,1989,1960094.564
Celtic Seas,1990,1795904
Celtic Seas,1991,1562782.97
Celtic Seas,1992,1631247.79
Celtic Seas,1993,1745967.807
Celtic Seas,1994,1810284.73
Celtic Seas,1995,2124336.899
Celtic Seas,1996,1953187.708
Celtic Seas,1997,1889037.163
Celtic Seas,1998,2151864.612
Celtic Seas,1999,1867312.342
Celtic Seas,2000,1808225.069
Celtic Seas,2001,1693857.483
Celtic Seas,2002,1575326.723
Celtic Seas,2003,1763482.589
Celtic Seas,2004,1809841.512
Celtic Seas,2005,1834820.737
Celtic Seas,2006,1839433.533
Celtic Seas,2007,1753005.241
Celtic Seas,2008,1688420.076
Celtic Seas,2009,1346040.561
Celtic Seas,2010,1460602.258
Celtic Seas,2011,981280.6472
Celtic Seas,2012,1138707.966
Celtic Seas,2013,1238187.369
Celtic Seas,2014,1415180.482
Celtic Seas,2015,1313660.803
Celtic Seas,2016,1343774.995
Celtic Seas,2017,1399344.648
Celtic Seas,2018,1475309.427
Celtic Seas,2019,1076672.436
Gulf of St. Lawrence - Eastern Scotian Shelf,1950,460963.9306
Gulf of St. Lawrence - Eastern Scotian Shelf,1951,394799.9678
Gulf of St. Lawrence - Eastern Scotian Shelf,1952,502679.7065
Gulf of St. Lawrence - Eastern Scotian Shelf,1953,516665.1804
Gulf of St. Lawrence - Eastern Scotian Shelf,1954,654940.2864
Gulf of St. Lawrence - Eastern Scotian Shelf,1955,700354.5991
Gulf of St. Lawrence - Eastern Scotian Shelf,1956,743340.3279
Gulf of St. Lawrence - Eastern Scotian Shelf,1957,742651.2713
Gulf of St. Lawrence - Eastern Scotian Shelf,1958,653190.9624
Gulf of St. Lawrence - Eastern Scotian Shelf,1959,738721.396
Gulf of St. Lawrence - Eastern Scotian Shelf,1960,828551.5467
Gulf of St. Lawrence - Eastern Scotian Shelf,1961,832203.0382
Gulf of St. Lawrence - Eastern Scotian Shelf,1962,799746.8835
Gulf of St. Lawrence - Eastern Scotian Shelf,1963,916043.1143
Gulf of St. Lawrence - Eastern Scotian Shelf,1964,848913.1096
Gulf of St. Lawrence - Eastern Scotian Shelf,1965,870033.3494
Gulf of St. Lawrence - Eastern Scotian Shelf,1966,824542.9888
Gulf of St. Lawrence - Eastern Scotian Shelf,1967,891843.1314
Gulf of St. Lawrence - Eastern Scotian Shelf,1968,1162522.02
Gulf of St. Lawrence - Eastern Scotian Shelf,1969,1183933.154
Gulf of St. Lawrence - Eastern Scotian Shelf,1970,1285193.679
Gulf of St. Lawrence - Eastern Scotian Shelf,1971,1128708.597
Gulf of St. Lawrence - Eastern Scotian Shelf,1972,877276.1495
Gulf of St. Lawrence - Eastern Scotian Shelf,1973,920456.6349
Gulf of St. Lawrence - Eastern Scotian Shelf,1974,662739.3207
Gulf of St. Lawrence - Eastern Scotian Shelf,1975,601890.5934
Gulf of St. Lawrence - Eastern Scotian Shelf,1976,661881.1907
Gulf of St. Lawrence - Eastern Scotian Shelf,1977,433788.6116
Gulf of St. Lawrence - Eastern Scotian Shelf,1978,509386.4143
Gulf of St. Lawrence - Eastern Scotian Shelf,1979,506142.312
Gulf of St. Lawrence - Eastern Scotian Shelf,1980,516233.2128
Gulf of St. Lawrence - Eastern Scotian Shelf,1981,490289.0575
Gulf of St. Lawrence - Eastern Scotian Shelf,1982,497882.3909
Gulf of St. Lawrence - Eastern Scotian Shelf,1983,499773.1433
Gulf of St. Lawrence - Eastern Scotian Shelf,1984,533243.413
Gulf of St. Lawrence - Eastern Scotian Shelf,1985,566221.7535
Gulf of St. Lawrence - Eastern Scotian Shelf,1986,616901.265
Gulf of St. Lawrence - Eastern Scotian Shelf,1987,621608.7366
Gulf of St. Lawrence - Eastern Scotian Shelf,1988,588189.4904
Gulf of St. Lawrence - Eastern Scotian Shelf,1989,588651.2858
Gulf of St. Lawrence - Eastern Scotian Shelf,1990,599214.8069
Gulf of St. Lawrence - Eastern Scotian Shelf,1991,555946.9157
Gulf of St. Lawrence - Eastern Scotian Shelf,1992,525856.4809
Gulf of St. Lawrence - Eastern Scotian Shelf,1993,383727.0185
Gulf of St. Lawrence - Eastern Scotian Shelf,1994,353380.7818
Gulf of St. Lawrence - Eastern Scotian Shelf,1995,328403.0297
Gulf of St. Lawrence - Eastern Scotian Shelf,1996,313315.6724
Gulf of St. Lawrence - Eastern Scotian Shelf,1997,314402.0038
Gulf of St. Lawrence - Eastern Scotian Shelf,1998,320954.649
Gulf of St. Lawrence - Eastern Scotian Shelf,1999,336924.9499
Gulf of St. Lawrence - Eastern Scotian Shelf,2000,343557.6353
Gulf of St. Lawrence - Eastern Scotian Shelf,2001,325074.4279
Gulf of St. Lawrence - Eastern Scotian Shelf,2002,336018.5219
Gulf of St. Lawrence - Eastern Scotian Shelf,2003,335810.824
Gulf of St. Lawrence - Eastern Scotian Shelf,2004,337845.3705
Gulf of St. Lawrence - Eastern Scotian Shelf,2005,341479.6189
Gulf of St. Lawrence - Eastern Scotian Shelf,2006,339049.561
Gulf of St. Lawrence - Eastern Scotian Shelf,2007,326660.2034
Gulf of St. Lawrence - Eastern Scotian Shelf,2008,320701.6823
Gulf of St. Lawrence - Eastern Scotian Shelf,2009,334010.0196
Gulf of St. Lawrence - Eastern Scotian Shelf,2010,298216.7122
Gulf of St. Lawrence - Eastern Scotian Shelf,2011,160546.8571
Gulf of St. Lawrence - Eastern Scotian Shelf,2012,228660.4053
Gulf of St. Lawrence - Eastern Scotian Shelf,2013,236562.121
Gulf of St. Lawrence - Eastern Scotian Shelf,2014,223776.7165
Gulf of St. Lawrence - Eastern Scotian Shelf,2015,308275.5703
Gulf of St. Lawrence - Eastern Scotian Shelf,2016,266785.338
Gulf of St. Lawrence - Eastern Scotian Shelf,2017,178939.9966
Gulf of St. Lawrence - Eastern Scotian Shelf,2018,298067.0743
Gulf of St. Lawrence - Eastern Scotian Shelf,2019,261632.8158
Virginian,1950,1114602.129
Virginian,1951,1082769.479
Virginian,1952,1110245.851
Virginian,1953,1306489.821
Virginian,1954,1328965.093
Virginian,1955,1330364.996
Virginian,1956,1345457.826
Virginian,1957,1312471.31
Virginian,1958,1178177.876
Virginian,1959,1270944.175
Virginian,1960,1185881.806
Virginian,1961,1245206.066
Virginian,1962,1403736.72
Virginian,1963,1244315.514
Virginian,1964,1295434.578
Virginian,1965,1410892.935
Virginian,1966,1403865.218
Virginian,1967,1233039.723
Virginian,1968,1317726.472
Virginian,1969,1641619.421
Virginian,1970,1338703.906
Virginian,1971,1617158.476
Virginian,1972,1739833.697
Virginian,1973,1809928.806
Virginian,1974,1615360.607
Virginian,1975,1381920.705
Virginian,1976,1336527.584
Virginian,1977,1310476.526
Virginian,1978,1271568.303
Virginian,1979,1321953.399
Virginian,1980,1343291.458
Virginian,1981,1240299.835
Virginian,1982,1232044.704
Virginian,1983,1211603.394
Virginian,1984,1174151.804
Virginian,1985,1252964.676
