;al;bits;dfo_nf;dfo_qcs;ebs;evhoe;fr_cgfs;gmex;goa;gsl_n;gsl_s;ice_gfs;ie_igfs;neus;nigfs;nor_bts;ns_ibts;nz;pt_ibts;rocall;s_georg;scs;seus;swc_ibts;wcann;wctri
18. Sep 98;;;;;;;;;;;;;;;;;;;;;;;;;;
18-OCT-1998;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Nov 98;;;;;;;;;;;;;;;;;;;;;;;;;;
17-DEC-1998;;;;;;;;0.412614655;;;;;;;;;;;;;;;1.125858137;;;
16. Jan 99;;;;;;;;0.337492019;;;;;;;;;;;;;;;1.190568347;;;
15. Feb 99;;;;;;;;0.460882514;;;;;;;;;;0.026757908;;;;;0.839719871;;;
17-MAR-1999;;;;;;;;;;;;;;;;;;0.04979873;;;;;;;;
16. Apr 99;;;;;;;;;;;;;;;;;;0.015438212;;;;;;;;
16-MAY-1999;;;0.195711178;;;;;;;;;;;;;;;;;;;;;;;
15. Jun 99;;;1.052699533;;;;;;;0.0257647;;;;;;;;0.083974147;;;;0.766681636;;;;
15. Jul 99;;;0.270951507;;;;;;;;;;;;;;;0.208510232;;;;;;;;
16. Aug 99;;;0.368738076;;;;;;;;;;0.051431437;;;;;;;;;;;;;
18. Sep 99;;;;;;;;;;0.355247305;0.786718432;;;;;;0.034333457;;;;;0.147633553;;;;
18-OCT-1999;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Nov 99;;;;;;;;;;;;;;;;;;0.082606231;;;;;;;;
17-DEC-1999;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jan 00;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 00;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAR-2000;;;;;;;;0.23225844;;;;;;0.094951331;;;;;;;0.050725863;;0.00145316;;;
15. Apr 00;;;;;;;;;;;;;;;;;;;;;0.034912539;;;;;
15-MAY-2000;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Jun 00;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 00;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Aug 00;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Sep 00;;;;;;;;;;;;;;;;;;;;;;;;;;
17-OCT-2000;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Nov 00;;;0.114807628;;;;;;;;;;;;;;;;;;;;;;;
16-DEC-2000;;0.232017649;;;;;;;;;;;;;;;;;;;;;;;;
15. Jan 01;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Feb 01;;;;;;;;;;;;;;;;;;;;;;;1.103242223;;;
16-MAR-2001;;;;;0.162964297;;;;;;;;;;;;;;;;;;;;;
15. Apr 01;;;;;;;;;;;;;;;;;;;;;;;;;;
15-MAY-2001;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Jun 01;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 01;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Aug 01;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Sep 01;;;;;;;;;;;;;;;;;;;;;;;;;;
17-OCT-2001;;;;;;;;;;;;;;;;;;;;0.149652295;;;;;;
16. Nov 01;;;;;;;;;;;;;;;;;;;;0.151480135;;;;;;
16-DEC-2001;;;;;;;;;;;;;;0.193360825;;;;0.171442122;;0.043935719;0.151236183;;;0.018957259;;
15. Jan 02;;;;;;;;;;;;;;;;;;0.036546302;;;0.13385333;;;;;
14. Feb 02;;;;;;;0.296326132;;;;;;;0.031330463;0.053930539;;;;;;0.013266892;;;;;
16-MAR-2002;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Apr 02;;;;;;;;;;;;;;0.242895067;;;;;;;;;;;;
15-MAY-2002;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Jun 02;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 02;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Aug 02;;0.077805079;;;;;;;;;;;;;;;0.265068152;;;;;;;;;
17. Sep 02;;0.521340343;;;;;;;;;;;;;;;0.072597734;;;;;;;;;
17-OCT-2002;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Nov 02;;;;;;;;;;;;;;;;;;;;;;;;;;
16-DEC-2002;;;;;;;;;0.102495285;;;0.148008081;;;;;;;;;;;;;;
15. Jan 03;;;;;;;;;0.095359309;;;0.266760771;;;;;;;;;;;;;;
14. Feb 03;;;;;;;;;0.230754618;;;0.229836663;;;;;;;;;0.024663349;;;;;
16-MAR-2003;0.095520616;;;;;;;;0.01237587;;;0.504490585;;;;;;;;;;;0.488814402;;;
15. Apr 03;0.073241323;;;;0.041285432;;;;;;;0.695543426;;;;;;;;0.047633907;;;;0.168482785;;
15-MAY-2003;;;;;0.381644433;;;;;;;0.102601751;;;;;;;;;;;;;;
14. Jun 03;;;;;;0.123472915;;;;;;;;;;;;;;;;;;;;
16. Jul 03;;;;;;;;;;;;0.003241017;;;;;0.009880988;;;;;;;;;
18. Aug 03;;;;;;0.648795027;;;;;;0.724673799;0.168223386;;0.049286009;;0.104021029;;;;;;;0.340301367;;
17. Sep 03;;;;;;;;;;;;0.08197572;0.16578374;;;;;;;;;;;0.085092552;;
17-OCT-2003;;;0.164143649;;;;;;;;;;;;;;;;;;;;;;;
16. Nov 03;;;;;;;;;;;;;;;;;;;;;;;;;;
16-DEC-2003;;;;;;;;;;;;;;;;;;;;;0.353074807;;;;;
15. Jan 04;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Feb 04;;;;;;;;;;;;;;;;;;;;;;;;;;
15-MAR-2004;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Apr 04;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAY-2004;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jun 04;;;;;;;;;;;;;;;;;;;;;;;;;;0.027198808
18. Jul 04;;;;0.079762512;0.713072343;;;;0.125954676;;;0.06342285;;;;0.394393088;;;;;;;;;;0.003553389
17. Aug 04;;;;0.896270045;0.448151894;;;;0.603920451;;;0.533344273;;;;0.428010235;;;0.018837812;;;;;;;
16. Sep 04;;;;;0.274836734;;;;;;;0.31593215;;;;;;;;;;;;;;
16-OCT-2004;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Nov 04;;;;;;;;;;;;;;;;;;;;;;;;;;
15-DEC-2004;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jan 05;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 05;;;;;;;;;;;;;;;;;;;;;0.006705193;;;;;
15-MAR-2005;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Apr 05;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAY-2005;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jun 05;;;;0.152701215;;;;;0.321413436;;;;;;;;;;;;;;;;;
18. Jul 05;;;;;0.478923035;;;;0.690574009;;;;;;;;;;;;;;;;;
17. Aug 05;;;;;;;;;0.041400712;;;;;;;;;;;;;;;;;
16. Sep 05;;;;;;;;;;;;;;;;;;;;;;;;;;
16-OCT-2005;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Nov 05;;;;;;;;;;;;;;;;;;;;;;;;;;
15-DEC-2005;;;;;;;;;;;;;;;;;;0.158456872;;;;;;;;
16. Jan 06;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 06;;;;;;;;;;;;;;;;;;;;;;;;;;
15-MAR-2006;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Apr 06;;;;;;;;;;;;;;;;;;;;;0.396712921;;;;;
16-MAY-2006;;;;;;;;;;0.312765028;0.515638831;;;;;;;;;;0.296187111;;;;;
18. Jun 06;;;0.501511516;;;;;;;0.906079944;0.238447873;;;;;;;;0.095607329;;;0.28242536;;;;
18. Jul 06;;1.463989062;0.335188003;;;0.605758878;;;;0.580925306;0.374180457;;;;;;0.561502474;;0.070702663;;;0.777054474;;0.083547289;;
17. Aug 06;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Sep 06;;;;;;;;;;;;;;;;;;;;;;;;;;
16-OCT-2006;;0.398261516;;;;0.006718629;;;;;;;;;;;0.389681191;;;0.093916035;;;;0.132727558;;
15. Nov 06;;;;;;0.175009203;0.117731592;;;;;;;;;;;;0.647392611;;;;;;;
15-DEC-2006;;;;;;0.007658521;;;;;;;;;;;;;;;;;;;;
16. Jan 07;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 07;;;;;;;;;;;;;;;;;;;;;;;;;;
15-MAR-2007;;;;;;;0.114093471;;;;;;;;;;;;;;;;;;;
14. Apr 07;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAY-2007;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jun 07;;0.506642496;;;;;;;;;;;;;0.012425103;;;;;;;;;;;
18. Jul 07;;;;;;;;;;;;;;;;;;;;0.048205968;;;;;;
17. Aug 07;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Sep 07;;;;;;;;;;;;;;;;;;;;0.008414775;;;;;;
16-OCT-2007;;;;;;;;;;;;;0.025596183;;;;;;;0.033069117;;;;;;
15. Nov 07;;;;;;;;;;;;;0.214318964;;;;;;;0.212282977;;;;;;
15-DEC-2007;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jan 08;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 08;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAR-2008;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Apr 08;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAY-2008;;0.295334839;;;;;;;;;;;0.006096111;;;;0.293694389;;;0.469201944;;;;0.301553654;;
17. Jun 08;;;;;;0.008180342;;;;;;;;;;;;;;;;;;;;
17. Jul 08;;;;;;;;;;;0.000279704;;;;;;;;;;;;;;;
16. Aug 08;;;;;;;;;;0.192817642;;;;;;;;;;;;;;;;
15. Sep 08;;;;;;;;;;;;;;;;;;;;;;;;;;
15-OCT-2008;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Nov 08;;;;;;;;;;;;;;;;;;;;;;;;;;
16-DEC-2008;;;0.160872494;;;;;;;;;;;;;;;;;;;;;;;
18. Jan 09;;;;;;;;;;;;;;;;;;;;;0.041514826;;;;;
14. Feb 09;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAR-2009;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Apr 09;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAY-2009;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jun 09;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jul 09;;;;;;;;;;;;;;;;;0.040233806;;;0.364464714;;;;0.033911453;;
16. Aug 09;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Sep 09;;;;;;;;;;;;;;;;;;;;;;;;;;
15-OCT-2009;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Nov 09;;;;;;;;;;;;;;;;;;;;;;;;;;
16-DEC-2009;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jan 10;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Feb 10;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAR-2010;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Apr 10;;;;;;;;;;0.112531005;0.484919809;;;;;;;;;;;;;;;
18-MAY-2010;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jun 10;;;;;;;;0.308247684;;;;;0.178249771;0.210269491;;;;;;0.551518919;;;;;;
17. Jul 10;;0.514040879;;;;;;;;;;;;;;;;;;;;;;;;
16. Aug 10;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Sep 10;;;;;;;;;;;;;;;;;;;;;;;;;;
15-OCT-2010;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Nov 10;;;;;;;;;;;;;;;;;;;;;0.17686129;;;;;
16-DEC-2010;;;;;;;;;;0.030504991;;;;;;;;;;;0.259047634;;;;;
18. Jan 11;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Feb 11;;;;;;;;;;;;;;;;;;;;;0.037630023;;;;;
16-MAR-2011;;;;;;;;;;;;;;;;;;;;;0.145812608;;;;;
18. Apr 11;;;;;;0.251048516;;0.001568777;;;;;;;;;;;0.257043434;;;;;;;
18-MAY-2011;;;;;;0.629075283;;;;;;;;;;;;;0.925033667;;;;;;;
17. Jun 11;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jul 11;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Aug 11;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Sep 11;;;;;;;;;;;;;;;;;;;;;;;;;;
15-OCT-2011;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Nov 11;;;;;;0.035765959;;;;;;;;;;;;;;;;;;;;
16-DEC-2011;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jan 12;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Feb 12;;;;;;;;;;;;;;0.005922794;;;;;;;;;;;;
18-MAR-2012;;;;;;;;0.36943618;;;;;;0.928320839;;;;;;;;;;;;
17. Apr 12;;;;;;;;0.430682106;;;;;;0.526027394;;;;;;;;;;;;
17-MAY-2012;;;;;;;;;;;0.277295343;;;0.193569372;;;;;;;;0.008099747;;;;
16. Jun 12;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 12;;;;;;;;;;0.116630422;;;;;;;;;;;;;;;;
15. Aug 12;;;0.16296616;;;;;;;0.693583704;0.330109712;;;;;;;;;;;0.10651564;;;;
14. Sep 12;;;0.273280586;;;;;;;0.624490183;;;;;;;;;;;;;;;;
16-OCT-2012;;;0.140900291;;;;;;;;;;;;;;;;;;;;;;;
18. Nov 12;;;;;;;;;;;;;;;;;;;;;;;;;;
18-DEC-2012;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jan 13;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Feb 13;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAR-2013;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Apr 13;;;;;;;;;;;;;;;;;;;;;;;;;;
17-MAY-2013;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jun 13;;;;;;;;;;;;;;;;0.212418923;;;;;;;;;;
16. Jul 13;;;;;;;;;;;;;0.038821124;;;0.306595457;;;;;;;;;;
15. Aug 13;;;;;;;;;;;;;;;;0.493930639;;;;;;;;;;
14. Sep 13;;;;;;;;;;;;;;;;0.343353026;;;;;;;;;0.336807687;
16-OCT-2013;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Nov 13;;;;;;;;;;;;;;;;;;0.087940739;;;;;;;;
18-DEC-2013;;;;;;;;;;;;;;;;;;0.104496082;;;;;;;;
17. Jan 14;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Feb 14;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAR-2014;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Apr 14;;;;;;;;;;;;;;;;;;;;;;;;;;
17-MAY-2014;;;;;;;;;;;;;;;;;;;;;;;;;;0.098874854
16. Jun 14;;;;;;;0.012120262;;;;;0.381594538;0.009218357;;0.006685571;;;;;0.543419461;;;;0.101616571;;
16. Jul 14;0.218589994;;;;;;0.110214294;;;;;;0.447258965;;0.14619557;;0.062697557;;;0.220252345;;;;0.364350567;;
15. Aug 14;0.383885023;;0.005315271;0.019041718;0.738672594;;;;;0.617863181;;;;;;;;;;;;;;;;
14. Sep 14;0.414654267;;;;0.88165079;;;;;;;;;;;;;;0.026040006;0.225331038;;;;;;
16-OCT-2014;0.062053433;;;0.433140296;;0.151964409;0.100432646;;;;;;;;;;;;0.410578316;;;;;;0.750400276;0.80981488
18. Nov 14;;;;0.218563479;;;;;;;;;;;;;;;;;;;;;;0.218112016
18-DEC-2014;;;;0.110654954;;;;;;;;;;;;;;;;;;;;;;0.321775992
17. Jan 15;;;;0.147140042;0.001957264;;;;0.067674113;;;;;;;;;;;;;;;;0.408578215;0.502133986
16. Feb 15;;;;0.393644017;;;;;0.017162426;;;;;;;;;;;;;;;;0.67388235;0.838588943
18-MAR-2015;;;;0.371980872;;;;;;;;;;;;;;;;;;;;;0.507461606;0.489213244
17. Apr 15;;;;;;;;0.46421993;;;;;;;;;;;;;;;;;0.006633678;
17-MAY-2015;;;;0.145842709;;;;;;;;;;;;;;;;;;;;;;
16. Jun 15;;;;0.07249437;;;;;0.07655551;;;;;;;;;;;;;;;;;
16. Jul 15;;;;0.370277407;;;;;;;;;;;;;;;;;;;;;0.001525716;
15. Aug 15;;;;0.156647903;;;;;;;;;;;;;;;;;;;;;0.006482293;
14. Sep 15;0.416078544;;;;;;;;;0.557736114;0.044177841;;;0.039629565;;;;;;;;0.022857293;;;;
16-OCT-2015;0.421516914;;;;;;;;;;;;;;;;;;;;;;;;;
18. Nov 15;;;;;;;;;;;;;;;;;;;;;;;;;;
18-DEC-2015;;;;;;;;;;;;;;0.082524057;;;;;;;;;;;;
17. Jan 16;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Feb 16;;;;;0.026802118;;;;;;;;;;;;;;;;;;;;;
17-MAR-2016;;;;;;;;;0.09381497;;;;;;;;;;;;;;;;;
16. Apr 16;;;;0.10807858;;;;;0.328550008;;;;;;;;;;;;;;;;0.470898625;0.306332958
16-MAY-2016;0.151424076;;;;0.657977758;;;;0.301857063;;;;;;;;;;;;;;;;;
15. Jun 16;0.014588173;;;;0.80507787;;;;0.543692414;;;;;;;;;;;;;;;;;
15. Jul 16;0.173502952;;;;1.409261289;;;;0.652588305;;;;;;;0.275918352;;;;;;;;;;
16. Aug 16;0.145299499;;;;1.070450994;;;;0.237877978;;;;;;;;;;;;;;;;;
18. Sep 16;0.000208781;;;;0.579318097;;;;0.236682648;;;;;;;;;;;;;;;;;
18-OCT-2016;;;;;0.453090997;;;;;;;;;;;;;;;;;;;;;
17. Nov 16;;;;;;;;;;;;;;;;;;;;;;;;;;0.087873533
17-DEC-2016;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jan 17;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 17;;;;;;;;0.171979468;;;;;;;;;;;;;;;;;;
17-MAR-2017;;;;;;;;0.069051969;;;;;;;;;;;;;;;;;;
16. Apr 17;;;;;;;;0.052033043;;;;;;;;;;;;;;;0.170896196;;;
16-MAY-2017;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Jun 17;;;;;;0.095709658;;;;;;;;;;;;;;;;;;;;
15. Jul 17;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Aug 17;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Sep 17;;;;;;;;;;;;;;;;;;;;;;;;;;
18-OCT-2017;;;;;;;;;;;;;;;;;;;;;0.052186981;;;;;
17. Nov 17;;;;;;;;;;;;;;;;;;0.150421467;;;0.100260781;;;;;
12-DEC-2017;;;;;;;;;;;;;;;;;;0.670213159;;;;;;;;